Service Area	Service	Service Description
Mixed reality	Object Anchors PREVIEW	Automatically align and anchor 3D content to objects in the physical world
Mobile	API Management	"Publish APIs to developers, partners, and employees securely and at scale"
Mobile	App Configuration	"Fast, scalable parameter storage for app configuration"
Mobile	App Service	Quickly create powerful cloud apps for web and mobile
Mobile	Azure Cognitive Search	Enterprise scale search for app development
Mobile	Azure Maps	"Create location-aware web and mobile applications using simple and secure geospatial services, APIs, and SDKs in Azure"
Mobile	Azure Cognitive Services	Add cognitive capabilities to apps with APIs and AI services
Mobile	Notification Hubs	Send push notifications to any platform from any back end
Mobile	Spatial Anchors	"Create multi-user, spatially aware mixed reality experiences"
Mobile	Visual Studio App Center	"Build, test, release, and monitor your mobile and desktop apps"
Mobile	Xamarin	Create cloud-powered mobile apps faster
Mobile	Azure Communication Services	Build rich communication experiences with the same secure platform used by Microsoft Teams
Networking	Application Gateway	"Build secure, scalable, highly available web front ends in Azure"
Networking	Azure Bastion	Private and fully managed RDP and SSH access to your virtual machines
Networking	Azure DDoS Protection	Protect your applications from Distributed Denial of Service (DDoS) attacks
Networking	Azure DNS	Host your DNS domain in Azure
Networking	Azure ExpressRoute	"Experience a fast, reliable, and private connection to Azure"
Networking	Azure Firewall	Cloud-native and intelligent network firewall security
Networking	Load Balancer	Deliver high availability and network performance to your apps
Networking	Azure Firewall Manager	"Central network security policy and route management for globally distributed, software-defined perimeters"
Networking	Azure Front Door	"Fast, reliable, and more secure cloud content delivery service with intelligent threat protection"
Networking	Azure Internet Analyzer PREVIEW	Test how networking infrastructure changes will impact your customers' performance.
Networking	Azure Private Link	"Private access to services hosted on the Azure platform, keeping your data on the Microsoft network"
Networking	Content Delivery Network	"Fast, reliable content delivery network with global reach"
Networking	Network Watcher	Network performance monitoring and diagnostics solution
Networking	Traffic Manager	Route incoming traffic for high performance and availability
Networking	Virtual Network	"Provision private networks, optionally connect to on-premises datacenters"
Networking	Virtual WAN	Optimize and automate branch to branch connectivity through Azure
Networking	VPN Gateway	"Establish secure, cross-premises connectivity"
Networking	Web Application Firewall	A cloud-native web application firewall (WAF) service that provides powerful protection for web apps
Networking	Azure Orbital PREVIEW	Satellite ground station and scheduling services for fast downlinking of data
